Subscriber Identity Number,PhoneNumber,Duration,Activity,ErroCode
345278666547334,1888777222,0.0,SMS,0
345278676547335,1122765445,10.0,Internet Data,0
345278686547336,1356753668,1.0,Phone Call,111
345278696547337,1590741891,2.0,Phone Call,111
345278706547338,1824730114,3.0,Phone Call,111
345278716547339,1058718337,4.0,Phone Call,111
345278726547340,1292706560,5.0,Phone Call,0
345278736547341,1526694783,12.0,Phone Call,0
345278746547342,1526694784,11.0,Phone Call,0
345278756547343,1526694785,10.0,Phone Call,0
345278766547344,1526694786,2.0,Phone Call,0
345278776547345,1526694787,22.0,Phone Call,0
345278786547346,1526694788,25.0,Phone Call,0
345278796547347,1526694789,1.0,Phone Call,0
345278806547348,1526694790,3.0,Phone Call,0
345278816547349,1526694791,4.0,Phone Call,0
345278826547350,1526694792,5.0,Phone Call,0
345278836547351,1526694793,8.0,Phone Call,0
345278846547352,1526694794,7.0,Phone Call,0
345278856547353,1526694795,9.0,Phone Call,0
345278866547354,1526694796,10.0,Phone Call,0
345278876547355,1526694797,11.0,Phone Call,0
345278886547356,1526694798,3.0,Phone Call,111
345278896547357,1526694799,3.0,Phone Call,111
345278906547358,1526694800,3.0,Phone Call,111
345278916547359,1526694801,3.0,Phone Call,111
345278926547360,1526694802,3.6,Phone Call,0
345278936547361,1526694803,3.5,Phone Call,0
345278946547362,1526694804,3.2,Phone Call,0
345278956547363,1526694805,3.1,Phone Call,0
345278966547364,1526694806,4.2,Phone Call,0
345278976547365,1526694807,4.3,Phone Call,0
345278986547366,1526694808,4.5,Phone Call,0
345278996547367,1526694809,2.0,Phone Call,0
345279006547368,1526694810,3.0,Phone Call,0
345279016547369,1526694811,10.0,Internet Data,0
345279026547370,1526694812,15.0,Internet Data,0
345279036547371,1526694813,15.0,Internet Data,0
345279046547372,1526694814,18.0,Internet Data,0
345279056547373,1526694815,1.0,Internet Data,222
345279066547374,1526694816,13.0,Internet Data,0
345279076547375,1526694817,11.0,Internet Data,0
345279086547376,1526694818,1.0,Internet Data,222
345279096547377,1526694819,15.0,Internet Data,0
345279106547378,1526694820,55.0,Internet Data,0
345279116547379,1526694821,120.0,Internet Data,0
345279126547380,1526694822,14.0,Internet Data,0
345279136547381,1526694823,13.0,Internet Data,222
345279146547382,1526694824,10.0,Internet Data,0
345279156547383,1526694825,14.0,Internet Data,0
345279166547384,1526694826,13.0,Internet Data,0
345279176547385,1526694827,10.0,Internet Data,0
345279186547386,1526694828,14.0,Internet Data,0
345279196547387,1526694829,13.0,Internet Data,0
345279206547388,1526694830,10.0,Internet Data,0
345279216547389,1526694831,14.0,Internet Data,0
345279226547390,1526694832,13.0,Internet Data,0
345279236547391,1526694833,10.0,Internet Data,0
345279246547392,1526694834,14.0,Internet Data,0
345279256547393,1526694835,13.0,Internet Data,0
345279266547394,1526694836,10.0,Internet Data,0
345279276547395,1526694837,14.0,Internet Data,0
345279286547396,1526694838,13.0,Internet Data,0
345279296547397,1526694839,10.0,Internet Data,0
